IdLocalidade;Localidade;Municipio;UF
4893;PIRITIBA;PIRITIBA;BA        
4740;PLANALTO;PLANALTO;BA        
4742;POCOES;POCOES;BA        
4974;POJUCA;POJUCA;BA        
4911;PONTO NOVO;PONTO NOVO;BA        
21855;KM 41 ;PORTO SEGURO;BA        
4768;PORTO SEGURO;PORTO SEGURO;BA        
4709;POTIRAGUA;POTIRAGUA;BA        
2719;PRADO;PRADO;BA        
4956;QUEIMADAS;QUEIMADAS;BA        
4410;REMANSO;REMANSO;BA        
4376;RIACHAO DAS NEVES;RIACHAO DAS NEVES;BA        
4933;RIACHAO DO JACUIPE;RIACHAO DO JACUIPE;BA        
3851;RIACHO DE SANTANA;RIACHO DE SANTANA;BA        
4995;RIBEIRA DO POMBAL;RIBEIRA DO POMBAL;BA        
4367;RIO DO PIRES;RIO DO PIRES;BA        
4865;RUY BARBOSA;RUY BARBOSA;BA        
79;SALVADOR;SALVADOR;BA        
4946;SANTA BARBARA;SANTA BARBARA;BA        
3784;SANTA MARIA DA VITORIA;SANTA MARIA DA VITORIA;BA        
4382;SANTA RITA DE CASSIA;SANTA RITA DE CASSIA;BA        
3787;SANTANA;SANTANA;BA        
4819;SANTO ANTONIO DE JESUS;SANTO ANTONIO DE JESUS;BA        
4934;SANTO ESTEVAO;SANTO ESTEVAO;BA        
15325;RODA VELHA;SAO DESIDERIO;BA        
4373;SAO DESIDERIO;SAO DESIDERIO;BA        
4971;SAO SEBASTIAO DO PASSE;SAO SEBASTIAO DO PASSE;BA        
4843;SEABRA;SEABRA;BA        
3840;SEBASTIAO LARANJEIRAS;SEBASTIAO LARANJEIRAS;BA        
4923;SENHOR DO BONFIM;SENHOR DO BONFIM;BA        
3835;SERRA DOURADA;SERRA DOURADA;BA        
4948;SERRINHA;SERRINHA;BA        
3836;TABOCAS DO BREJO VELHO;TABOCAS DO BREJO VELHO;BA        
4724;TANHACU;TANHACU;BA        
23617;CACHOEIRA DO MATO;TEIXEIRA DE FREITAS;BA        
21852;CANA BRAVA  [2];TEIXEIRA DE FREITAS;BA        
21278;CASCATA;TEIXEIRA DE FREITAS;BA        
23129;DUQUE DE CAXIAS;TEIXEIRA DE FREITAS;BA        
22522;ENTR DE JURACITABA ;TEIXEIRA DE FREITAS;BA        
21451;NOVA LIDICE;TEIXEIRA DE FREITAS;BA        
21438;SANTO ANTONIO;TEIXEIRA DE FREITAS;BA        
2715;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA        
4969;TEODORO SAMPAIO;TEODORO SAMPAIO;BA        
4960;TEOFILANDIA;TEOFILANDIA;BA        
4688;TREMEDAL;TREMEDAL;BA        
4994;TUCANO;TUCANO;BA        
5009;UAUA;UAUA;BA        
2826;UBAITABA;UBAITABA;BA        
2824;UBATA;UBATA;BA        
3822;URANDI;URANDI;BA        
4854;UTINGA;UTINGA;BA        
4816;VALENCA;VALENCA;BA        
21791;RIO DO SUL  [1];VEREDA;BA        
2711;VEREDA;VEREDA;BA        
21379;VEREDINHA;VITORIA DA CONQUISTA;BA        
4703;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;BA        
4852;WAGNER;WAGNER;BA        
4285;XIQUE-XIQUE;XIQUE-XIQUE;BA        
5625;ARROYO-CONCEPCION;BOLIVIA;BOL       
5595;PUERTO SUAREZ;BOLIVIA;BOL       
24923;SANTA CRUZ DE LA SIERRA;BOLIVIA;BOL       
2111;ACOPIARA;ACOPIARA;CE        
1750;ALTO SANTO;ALTO SANTO;CE        
22256;VOLGA ;ALTO SANTO;CE        
3125;ANTONINA DO NORTE;ANTONINA DO NORTE;CE        
5110;ARACATI;ARACATI;CE        
1708;AURORA;AURORA;CE        
5052;BARBALHA;BARBALHA;CE        
2062;BARRO;BARRO;CE        
1726;BOA VIAGEM;BOA VIAGEM;CE        
1703;BREJO SANTO;BREJO SANTO;CE        
5155;CAMOCIM;CAMOCIM;CE        
3120;CAMPOS SALES;CAMPOS SALES;CE        
1694;CANINDE;CANINDE;CE        
5232;CAUCAIA;CAUCAIA;CE        
29302;TERMINAL RODOVIARIO ANTONIO BEZERRA;CAUCAIA;CE        
1710;CEDRO;CEDRO;CE        
5128;CHAVAL;CHAVAL;CE        
5141;COREAU;COREAU;CE        
3857;CRATEUS;CRATEUS;CE        
5047;CRATO;CRATO;CE        
1746;ERERE;ERERE;CE        
82;FORTALEZA;FORTALEZA;CE        
21427;MESSEJANA;FORTALEZA;CE        
5154;GRANJA;GRANJA;CE        
5131;GUARACIABA DO NORTE;GUARACIABA DO NORTE;CE        
5134;IBIAPINA;IBIAPINA;CE        
1713;ICO;ICO;CE        
1711;IGUATU;IGUATU;CE        
21403;FELIZARDO;IPAUMIRIM;CE        
2074;IPAUMIRIM;IPAUMIRIM;CE        
3861;IPU;IPU;CE        
1747;IRACEMA;IRACEMA;CE        
22554;IRACUBA ;IRAUCUBA;CE        
5163;ITAPAGE;ITAPAGE;CE        
5170;ITAPIPOCA;ITAPIPOCA;CE        
1738;JAGUARIBE;JAGUARIBE;CE        
1700;JARDIM;JARDIM;CE        
1702;JATI;JATI;CE        
5156;JIJOCA DE JERICOACOARA;JIJOCA DE JERICOACOARA;CE        
5053;JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;CE        
5050;JUCAS;JUCAS;CE        
5104;LIMOEIRO DO NORTE;LIMOEIRO DO NORTE;CE        
1727;MADALENA;MADALENA;CE        
1687;MAURITI;MAURITI;CE        
5057;MILAGRES;MILAGRES;CE        
5054;MISSAO VELHA;MISSAO VELHA;CE        
1717;MOMBACA;MOMBACA;CE        
3863;NOVA RUSSAS;NOVA RUSSAS;CE        
5095;NOVO ORIENTE;NOVO ORIENTE;CE        
20046;DIV CE/PI (BR-020)COVA DUNGA;PARAMBU;CE        
5093;PARAMBU;PARAMBU;CE        
1718;PEDRA BRANCA;PEDRA BRANCA;CE        
21398;RIACHAO DO BANABUIU;PEDRA BRANCA;CE        
1699;PENAFORTE;PENAFORTE;CE        
5089;PORANGA;PORANGA;CE        
1693;QUIXADA;QUIXADA;CE        
1691;QUIXERAMOBIM;QUIXERAMOBIM;CE        
5106;RUSSAS;RUSSAS;CE        
3865;SANTA QUITERIA;SANTA QUITERIA;CE        
5130;SAO BENEDITO;SAO BENEDITO;CE        
21474;CROATA;SAO GONCALO DO AMARANTE;CE        
27642;PECEM;SAO GONCALO DO AMARANTE;CE        
5226;SAO GONCALO DO AMARANTE;SAO GONCALO DO AMARANTE;CE        
5175;SAO LUIS DO CURU;SAO LUIS DO CURU;CE        
5148;SOBRAL;SOBRAL;CE        
5096;TAUA;TAUA;CE        
1695;TIANGUA;TIANGUA;CE        
5123;UBAJARA;UBAJARA;CE        
1709;VARZEA ALEGRE;VARZEA ALEGRE;CE        
24799;MATA BURRO;VICOSA DO CEARA;CE        
21580;PADRE VIEIRA ;VICOSA DO CEARA;CE        
1696;VICOSA DO CEARA;VICOSA DO CEARA;CE        
5573;SANTIAGO;CHILE;CHL       
60;BRASILIA;BRASILIA;DF        
21316;BRAZLANDIA;BRASILIA;DF        
21311;CEILANDIA;BRASILIA;DF        
23542;CURRALINHO;BRASILIA;DF        
12254;DIV DF/GO (DF-285/MUNIC);BRASILIA;DF        
12303;ENT DF251/DF001;BRASILIA;DF        
21308;GAMA;BRASILIA;DF        
23740;MINISTERIO DA GUERRA;BRASILIA;DF        
21318;PLANALTINA;BRASILIA;DF        
21430;PLANALTINA (URB);BRASILIA;DF        
29301;SANTA MARIA;BRASILIA;DF        
21969;SAO BARTOLOMEU  [1];BRASILIA;DF        
21968;SAO BERNARDO;BRASILIA;DF        
21317;SOBRADINHO;BRASILIA;DF        
21450;SOBRADINHO (URB);BRASILIA;DF        
21312;TAGUATINGA;BRASILIA;DF        
2604;AFONSO CLAUDIO;AFONSO CLAUDIO;ES        
2657;AGUA DOCE DO NORTE;AGUA DOCE DO NORTE;ES        
23600;RIO PRETO;AGUA DOCE DO NORTE;ES        
21260;SANTO AGOSTINHO;AGUA DOCE DO NORTE;ES        
2648;AGUIA BRANCA;AGUIA BRANCA;ES        
23966;BOA VISTA[3];AGUIA BRANCA;ES        
23588;BRAUNA;AGUIA BRANCA;ES        
22510;HENRIQUE;AGUIA BRANCA;ES        
4223;ALEGRE;ALEGRE;ES        
2624;ALTO RIO NOVO;ALTO RIO NOVO;ES        
2627;ANCHIETA;ANCHIETA;ES        
21249;IRIRI;ANCHIETA;ES        
2578;APIACA;APIACA;ES        
2196;ARACRUZ;ARACRUZ;ES        
23591;SANTA CRUZ;ARACRUZ;ES        
2595;ATILIO VIVACQUA;ATILIO VIVACQUA;ES        
21449;ALTO MUTUM PRETO;BAIXO GUANDU;ES        
2618;BAIXO GUANDU;BAIXO GUANDU;ES        
22484;MASCARENHAS;BAIXO GUANDU;ES        
2655;BARRA DE SAO FRANCISCO;BARRA DE SAO FRANCISCO;ES        
23951;CASCUDO;BARRA DE SAO FRANCISCO;ES        
22512;ENCRUZILHADA VERMELHA;BARRA DE SAO FRANCISCO;ES        
22511;ESPERA QUE VEM;BARRA DE SAO FRANCISCO;ES        
23604;PAULISTA;BARRA DE SAO FRANCISCO;ES        
23628;TRAJANO;BARRA DE SAO FRANCISCO;ES        
2678;BOA ESPERANCA;BOA ESPERANCA;ES        
21264;SOBRADINHO;BOA ESPERANCA;ES        
2577;BOM JESUS DO NORTE;BOM JESUS DO NORTE;ES        
2598;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES        
2634;CARIACICA;CARIACICA;ES        
2597;CASTELO;CASTELO;ES        
25215;BARBADOS;COLATINA;ES        
25214;BAUNILHA;COLATINA;ES        
2645;COLATINA;COLATINA;ES        
25213;ENTR. S. G. BAUNILHA;COLATINA;ES        
21257;FRECHIANI;COLATINA;ES        
21256;ITAPINA;COLATINA;ES        
22506;QUINZE DE OUTUBRO;COLATINA;ES        
22507;TARDIN;COLATINA;ES        
18598;BRACO DO RIO ;CONCEICAO DA BARRA;ES        
2712;CONCEICAO DA BARRA;CONCEICAO DA BARRA;ES        
21796;CORREGO DA LAMA  [1];CONCEICAO DA BARRA;ES        
21267;IGREJINHA;CONCEICAO DA BARRA;ES        
2601;CONCEICAO DO CASTELO;CONCEICAO DO CASTELO;ES        
2589;DORES DO RIO PRETO;DORES DO RIO PRETO;ES        
22496;CORREGO AZUL  [2];ECOPORANGA;ES        
21265;COTAXE;ECOPORANGA;ES        
2673;ECOPORANGA;ECOPORANGA;ES        
22516;IMBURANA;ECOPORANGA;ES        
22515;JOASSUBA;ECOPORANGA;ES        
23605;MURITIBA;ECOPORANGA;ES        
21434;RIBEIRAOZINHO;ECOPORANGA;ES        
2637;FUNDAO;FUNDAO;ES        
21802;JOAO PEREIRA;FUNDAO;ES        
21801;TIMBUI;FUNDAO;ES        
4222;GUACUI;GUACUI;ES        
2629;GUARAPARI;GUARAPARI;ES        
16918;ENTR BR-262/ES-185 (P/ IUNA);IBATIBA;ES        
2551;IBATIBA;IBATIBA;ES        
2643;IBIRACU;IBIRACU;ES        
21800;PENDANGA ;IBIRACU;ES        
2625;ICONHA;ICONHA;ES        
2585;ITAPEMIRIM;ITAPEMIRIM;ES        
25236;ENTR DE SANTA CRUZ ;IUNA;ES        
2550;IUNA;IUNA;ES        
21247;PEQUIA;IUNA;ES        
