IdLocalidade;Localidade;Municipio;UF
002753;RIALMA;RIALMA;GO        
2754;RIANAPOLIS;RIANAPOLIS;GO        
002754;RIANAPOLIS;RIANAPOLIS;GO        
2756;RUBIATABA;RUBIATABA;GO        
002756;RUBIATABA;RUBIATABA;GO        
2757;NOVA GLORIA;NOVA GLORIA;GO        
002757;NOVA GLORIA;NOVA GLORIA;GO        
2762;SAO LUIZ DO NORTE;SAO LUIZ DO NORTE;GO        
002762;SAO LUIZ DO NORTE;SAO LUIZ DO NORTE;GO        
2763;SENADOR CANEDO;SENADOR CANEDO;GO        
002763;SENADOR CANEDO;SENADOR CANEDO;GO        
2764;NEROPOLIS;NEROPOLIS;GO        
002764;NEROPOLIS;NEROPOLIS;GO        
2769;ANAPOLIS;ANAPOLIS;GO        
002769;ANAPOLIS;ANAPOLIS;GO        
2771;SAO FRANCISCO DE GOIAS;SAO FRANCISCO DE GOIAS;GO        
002771;SAO FRANCISCO DE GOIAS;SAO FRANCISCO DE GOIAS;GO        
2772;PIRENOPOLIS;PIRENOPOLIS;GO        
002772;PIRENOPOLIS;PIRENOPOLIS;GO        
2773;CORUMBA DE GOIAS;CORUMBA DE GOIAS;GO        
002773;CORUMBA DE GOIAS;CORUMBA DE GOIAS;GO        
2774;COCALZINHO DE GOIAS;COCALZINHO DE GOIAS;GO        
002774;COCALZINHO DE GOIAS;COCALZINHO DE GOIAS;GO        
2777;VIANOPOLIS;VIANOPOLIS;GO        
002777;VIANOPOLIS;VIANOPOLIS;GO        
2778;ABADIANIA;ABADIANIA;GO        
002778;ABADIANIA;ABADIANIA;GO        
2779;ALEXANIA;ALEXANIA;GO        
002779;ALEXANIA;ALEXANIA;GO        
2780;SANTO ANTONIO DO DESCOBERTO;SANTO ANTONIO DO DESCOBERTO;GO        
002780;SANTO ANTONIO DO DESCOBERTO;SANTO ANTONIO DO DESCOBERTO;GO        
2781;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;GO        
002781;AGUAS LINDAS DE GOIAS;AGUAS LINDAS DE GOIAS;GO        
2782;GOIANESIA;GOIANESIA;GO        
002782;GOIANESIA;GOIANESIA;GO        
2783;VILA PROPICIO;VILA PROPICIO;GO        
002783;VILA PROPICIO;VILA PROPICIO;GO        
2785;BARRO ALTO;BARRO ALTO;GO        
002785;BARRO ALTO;BARRO ALTO;GO        
2786;PADRE BERNARDO;PADRE BERNARDO;GO        
002786;PADRE BERNARDO;PADRE BERNARDO;GO        
2789;NOVA CRIXAS;NOVA CRIXAS;GO        
002789;NOVA CRIXAS;NOVA CRIXAS;GO        
2792;SANTA TEREZINHA DE GOIAS;SANTA TEREZINHA DE GOIAS;GO        
002792;SANTA TEREZINHA DE GOIAS;SANTA TEREZINHA DE GOIAS;GO        
2797;SAO MIGUEL DO ARAGUAIA;SAO MIGUEL DO ARAGUAIA;GO        
002797;SAO MIGUEL DO ARAGUAIA;SAO MIGUEL DO ARAGUAIA;GO        
2798;ARAGUACU;ARAGUACU;TO        
002798;ARAGUACU;ARAGUACU;TO        
2799;NOVO PLANALTO;NOVO PLANALTO;GO        
002799;NOVO PLANALTO;NOVO PLANALTO;GO        
2800;URUACU;URUACU;GO        
002800;URUACU;URUACU;GO        
2801;CAMPINORTE;CAMPINORTE;GO        
002801;CAMPINORTE;CAMPINORTE;GO        
2802;MARA ROSA;MARA ROSA;GO        
002802;MARA ROSA;MARA ROSA;GO        
2803;MUTUNOPOLIS;MUTUNOPOLIS;GO        
002803;MUTUNOPOLIS;MUTUNOPOLIS;GO        
2804;ESTRELA DO NORTE;ESTRELA DO NORTE;GO        
002804;ESTRELA DO NORTE;ESTRELA DO NORTE;GO        
2805;SANTA TEREZA DE GOIAS;SANTA TEREZA DE GOIAS;GO        
002805;SANTA TEREZA DE GOIAS;SANTA TEREZA DE GOIAS;GO        
